p_hex8,d_hex8,ride_count
883cf10cabfffff,883cf17619fffff,16
883cf10ca1fffff,883cf13b25fffff,16
883cf10c97fffff,883cf10ca7fffff,16
883cf10c93fffff,883cf17657fffff,16
883cf10c93fffff,883cf17649fffff,16
883c029951fffff,883c029959fffff,16
883cf105b9fffff,883cf13b39fffff,16
883c029953fffff,883c029919fffff,16
883c02d6d9fffff,883c02d6d5fffff,16
883c029917fffff,883c0299c9fffff,16
883c029917fffff,883c029915fffff,16
883c02d6ddfffff,883c02d6d9fffff,16
883cc21abdfffff,883cc21a8dfffff,16
883c029907fffff,883c0299a9fffff,16
883c029919fffff,883c029953fffff,16
883c02991bfffff,883c029903fffff,16
